fbsci,Country,Site,stockid,spp,CommonName,Source,CollectionYear,MarkerName,n,bp,He,Hese,Pi,Pise,lat,lon
Amblyraja radiata,Eastern Atlantic,Central North Sea,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2003,cytochrome b,11,290,0.473,NA,0.0018,NA,56.13,4.81
Amblyraja radiata,Eastern Atlantic,Kattegat,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2003,cytochrome b,22,290,0.789,NA,0.006,NA,57.5,10.35
Amblyraja radiata,Eastern Atlantic,Off Haugesund,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2003,cytochrome b,15,290,0.771,NA,0.0039,NA,59.37,2.92
Amblyraja radiata,Iceland,Eyjafjordur,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2004,cytochrome b,19,290,0.784,NA,0.0038,NA,66.16,-18.43
Amblyraja radiata,Iceland,Hunafloi,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2004,cytochrome b,27,290,0.738,NA,0.0047,NA,65.57,-21.08
Amblyraja radiata,Iceland,Isafjardarjup,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2003,cytochrome b,17,290,0.75,NA,0.003,NA,66.28,-23.2
Amblyraja radiata,Iceland,Off bistlfjordur,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2003,cytochrome b,24,290,0.916,NA,0.0071,NA,66.91,-13.48
Amblyraja radiata,Iceland,Off Bjargtangar,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2003,cytochrome b,22,290,0.749,NA,0.006,NA,65.67,-27.56
Amblyraja radiata,Iceland,Off Bjargtangar,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2003,cytochrome b,32,290,0.802,NA,0.055,NA,65.74,-27.4
Amblyraja radiata,Iceland,Off Hofn,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2003,cytochrome b,17,290,0.806,NA,0.0036,NA,63.91,-12.53
Amblyraja radiata,Iceland,Oxafjordur,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2004,cytochrome b,20,290,0.916,NA,0.0071,NA,66.28,-16.28
Amblyraja radiata,Iceland,Skagafjordur,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2004,cytochrome b,19,290,0.784,NA,0.0058,NA,65.94,-16.79
Amblyraja radiata,Iceland,Skjalfandi,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2004,cytochrome b,25,290,0.743,NA,0.0056,NA,66.14,-17.54
Amblyraja radiata,Newfoundland,Newfoundland,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2004,cytochrome b,30,290,0.834,NA,0.007,NA,46.07,-47.37
Anoplopoma fimbria,Mexico,SQ,NA,Anoplopoma fimbria,Sablefish,Tripp-Valdez et. al 2012 Journal of Applied Ichthyology 28:516-523,,COI,15,353,0.371,0.03950443,0.0015,0.000180739,30.44166667,-115.5691667
Anoplopoma fimbria,USA,BS,SABLEFEBSAIGA,Anoplopoma fimbria,Sablefish,Tripp-Valdez et. al 2012 Journal of Applied Ichthyology 28:516-523,,COI,15,353,0.467,0.038213436,0.00146,0.000136845,56.08461111,-172.9652417
Anoplopoma fimbria,USA,GA,SABLEFEBSAIGA,Anoplopoma fimbria,Sablefish,Tripp-Valdez et. al 2012 Journal of Applied Ichthyology 28:516-523,,COI,14,353,0.758,0.031002304,0.0027,0.000160357,54.03594444,-133.9998167
Anoplopoma fimbria,USA,OR,SABLEFPCOAST,Anoplopoma fimbria,Sablefish,Tripp-Valdez et. al 2012 Journal of Applied Ichthyology 28:516-523,,COI,13,353,0.5,0.037719613,0.0015,0.00011094,45.852779,-124.324432
Balistes capriscus,USA,Louisiana,GTRIGGM,Balistes capriscus,Gray triggerfish,Atoni et al. 2011 North American Journal of Fisheries 31:714-721,2008.5,ND4,29,617,0.81505,NA,0.00345,NA,27,-91
Balistes capriscus,USA,South Carolina,NA,Balistes capriscus,Gray triggerfish,Atoni et al. 2011 North American Journal of Fisheries 31:714-721,2008.5,ND4,29,617,0.88736,NA,0.00393,NA,33.08333333,-79
Balistes capriscus,USA,South Texas,GTRIGGM,Balistes capriscus,Gray triggerfish,Atoni et al. 2011 North American Journal of Fisheries 31:714-721,2008.5,ND4,29,617,0.89195,NA,0.00451,NA,26.01888889,-96.99888889
Balistes capriscus,USA,South-eastern Florida,NA,Balistes capriscus,Gray triggerfish,Atoni et al. 2011 North American Journal of Fisheries 31:714-721,2008.5,ND4,29,617,0.90726,NA,0.00403,NA,26.08333333,-80
Balistes capriscus,USA,West Florida,GTRIGGM,Balistes capriscus,Gray triggerfish,Atoni et al. 2011 North American Journal of Fisheries 31:714-721,2008.5,ND4,29,617,0.87957,NA,0.003386,NA,29.343741,-84.993571
Centropristis striata,USA,CT,BSBASSMATLC,Centropristis striata,Black seabass,"Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402",,control region,13,342,0.641,0.041602515,0.002,0.0005547,41.1,-72.8
Centropristis striata,USA,FL,NA,Centropristis striata,Black seabass,"Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402",,control region,53,342,0.861,0.005494423,0.007,0.000686803,27.712277,-80.363007
Centropristis striata,USA,GA,NA,Centropristis striata,Black seabass,"Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402",,control region,40,342,0.887,0.006798897,0.008,0.000790569,31.6,-80.7
Centropristis striata,USA,GoM,NA,Centropristis striata,Black seabass,"Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402",,control region,57,342,0.999,0.000529813,0.015,0.001059626,29.5,-84.7
Centropristis striata,USA,NC,NA,Centropristis striata,Black seabass,"Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402",,control region,56,342,0.87,0.005077964,0.006,0.000534522,34.3,-77.4
Centropristis striata,USA,NJ,BSBASSMATLC,Centropristis striata,Black seabass,"Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402",,control region,28,342,0.442,0.021921939,0.003,0.000377964,39.5,-73.8
Centropristis striata,USA,OI,BSBASSMATLC,Centropristis striata,Black seabass,"Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402",,control region,8,342,0.25,0.06363961,0.001,0.000353553,35.8,-75.4
Centropristis striata,USA,SC32,NA,Centropristis striata,Black seabass,"Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402",,control region,39,342,0.815,0.009767817,0.006,0.000640513,32.3,-79.7
Centropristis striata,USA,SC33,NA,Centropristis striata,Black seabass,"Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402",,control region,40,342,0.846,0.008063808,0.005,0.000474342,33.3,-78.7
Centropristis striata,USA,VA,BSBASSMATLC,Centropristis striata,Black seabass,"Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402",,control region,30,342,0.361,0.019900586,0.002,0.000365148,36.9,-75.5
Clupea pallasii pallasii,Canada ,"Strait of Georgia, NE Pacific ",HERRSOG,Clupea pallasii,Pacific herring ,Grant et al. 2012 Molecular Phylogenetics and Evolution 65:203-212,2009,control region,24,463,0.978,0.004286607,0.0214,0.002306603,49.3473,-123.8583
Clupea pallasii pallasii,China ,"Rongcheng, Yellow Sea ",NA,Clupea pallasii,Pacific herring ,Grant et al. 2012 Molecular Phylogenetics and Evolution 65:203-212,2003,control region,39,463,0.908,0.003843076,0.0098,0.000880705,36.7417,122.758
Clupea pallasii pallasii,Japan,"Ishikari Bay, Sea of Japan ",NA,Clupea pallasii,Pacific herring ,Grant et al. 2012 Molecular Phylogenetics and Evolution 65:203-212,2005,control region,24,463,0.935,0.005103104,0.011,0.001245157,43.3115,141.1668
Clupea pallasii pallasii,Japan,"North of Hokkaido, Okhotsk Sea ",NA,Clupea pallasii,Pacific herring ,Grant et al. 2012 Molecular Phylogenetics and Evolution 65:203-212,2004,control region,26,463,0.945,0.004706787,0.0111,0.00121592,42.8522,144.0288
Clupea pallasii pallasii,Japan,"Shimane, Sea of Japan ",NA,Clupea pallasii,Pacific herring ,Grant et al. 2012 Molecular Phylogenetics and Evolution 65:203-212,2007,control region,24,463,0.975,0.003878359,0.0117,0.001326807,35.6807,133.5373
Clupea pallasii pallasii,Russia ,"Akkeshi, East of Hokkaido",NA,Clupea pallasii,Pacific herring ,Grant et al. 2012 Molecular Phylogenetics and Evolution 65:203-212,2005,control region,36,463,0.975,0.002333333,0.0124,0.001116667,46.6355,143.6351
Clupea pallasii pallasii,Russia ,"West Kamchatka, Okhotsk Sea ",NA,Clupea pallasii,Pacific herring ,Grant et al. 2012 Molecular Phylogenetics and Evolution 65:203-212,2007,control region,29,463,0.948,0.005199469,0.0113,0.001169881,52.8966,155.43
Clupea pallasii pallasii,United States,"Coastal Washington, NE Pacific ",NA,Clupea pallasii,Pacific herring ,Grant et al. 2012 Molecular Phylogenetics and Evolution 65:203-212,2005,control region,84,463,0.98,0.000872872,0.0238,0.001320218,47.7511,-124.6
Clupea pallasii pallasii,United States,"Sitka, Gulf of Alaska ",HERRSITKA,Clupea pallasii,Pacific herring ,Grant et al. 2012 Molecular Phylogenetics and Evolution 65:203-212,2007,control region,26,463,0.963,0.005295136,0.0235,0.002412228,56.8881,-135.8982
Clupea pallasii pallasii,United States,"Togiak, Bering Sea ",HERRTOG,Clupea pallasii,Pacific herring ,Grant et al. 2012 Molecular Phylogenetics and Evolution 65:203-212,2007,control region,30,463,0.894,0.006755245,0.0125,0.001241504,58.6739,-160.0814
Engraulis encrasicolus,Atlantic Ocean,Aegean Sea,NA,Engraulis encrasicolus,European anchovy,Keskin et al. 2012 Mitochondrial DNA 23(2):62-69,,cytochrome oxidase c subunit I,251,655,0.8422,NA,NA,NA,38.112959,26.142927
Engraulis encrasicolus,Atlantic Ocean,Black Sea,NA,Engraulis encrasicolus,European anchovy,Keskin et al. 2012 Mitochondrial DNA 23(2):62-69,,cytochrome oxidase c subunit I,384,655,0.8422,NA,NA,NA,41.289294,35.332304
Engraulis encrasicolus,Atlantic Ocean,Marmara Sea,NA,Engraulis encrasicolus,European anchovy,Keskin et al. 2012 Mitochondrial DNA 23(2):62-69,,cytochrome oxidase c subunit I,202,655,0.8422,NA,NA,NA,40.002102,26.062464
Engraulis encrasicolus,Atlantic Ocean,Mediterranean Sea,NA,Engraulis encrasicolus,European anchovy,Keskin et al. 2012 Mitochondrial DNA 23(2):62-69,,cytochrome oxidase c subunit I,253,655,0.8422,NA,NA,NA,36.100049,33.8202825
Engraulis encrasicolus,Bay of Biscay,East Cantabrian Sea (Basque Country),ANCHOBAYB,Engraulis encrasicolus,European Anchovy,Borrell et al. 2012 ICES Journal of Marine Science 69:1357äóñ1371,2009,16S,19,503,0.7018,0.0805,0.005022,NA,44.03333333,-1.915555556
Engraulis encrasicolus,Bay of Biscay,East Cantabrian Sea (Basque Country),ANCHOBAYB,Engraulis encrasicolus,European Anchovy,Borrell et al. 2012 ICES Journal of Marine Science 69:1357äóñ1371,2009,Cytb,17,524,0.9706,0.0323,0.0158,NA,44.03333333,-1.915555556
Engraulis encrasicolus,Bay of Biscay,East Cantabrian Sea (Getaria Coast),ANCHOBAYB,Engraulis encrasicolus,European Anchovy,Borrell et al. 2012 ICES Journal of Marine Science 69:1357äóñ1371,2009,16S,11,503,0.8727,0.0891,0.005639,NA,44,-1.9
Engraulis encrasicolus,Bay of Biscay,East Cantabrian Sea (Getaria Coast),ANCHOBAYB,Engraulis encrasicolus,European Anchovy,Borrell et al. 2012 ICES Journal of Marine Science 69:1357äóñ1371,2009,Cytb,12,524,0.8485,0.012723,0.012723,NA,44,-1.9
Engraulis encrasicolus,Bay of Biscay,West Cantabrian Sea,ANCHOBAYB,Engraulis encrasicolus,European Anchovy,Borrell et al. 2012 ICES Journal of Marine Science 69:1357äóñ1371,2009,16S,40,503,0.5308,0.0891,0.003747,NA,43.763991,-4.049719
Engraulis encrasicolus,Bay of Biscay,West Cantabrian Sea,ANCHOBAYB,Engraulis encrasicolus,European Anchovy,Borrell et al. 2012 ICES Journal of Marine Science 69:1357äóñ1371,2009,Cytb,39,524,0.726,0.0703,0.011935,NA,43.763991,-4.049719
Engraulis encrasicolus,Bay of Biscay,West Cantabrian Sea (Valdearenas),ANCHOBAYB,Engraulis encrasicolus,European Anchovy,Borrell et al. 2012 ICES Journal of Marine Science 69:1357äóñ1371,2009,16S,20,503,0.7421,0.0705,0.005159,NA,43.80569,-2.990878
Engraulis encrasicolus,Bay of Biscay,West Cantabrian Sea (Valdearenas),ANCHOBAYB,Engraulis encrasicolus,European Anchovy,Borrell et al. 2012 ICES Journal of Marine Science 69:1357äóñ1371,2009,Cytb,20,524,0.9474,0.00344,0.016181,NA,43.80569,-2.990878
Engraulis encrasicolus,France,North Nantes,ANCHOBAYB,Engraulis encrasicolus,European Anchovy,Borrell et al. 2012 ICES Journal of Marine Science 69:1357äóñ1371,2009,16S,31,503,0.7484,0.0577,0.005481,NA,47.018264,-2.084208
Engraulis encrasicolus,France,North Nantes,ANCHOBAYB,Engraulis encrasicolus,European Anchovy,Borrell et al. 2012 ICES Journal of Marine Science 69:1357äóñ1371,2009,Cytb,31,524,0.9484,0.0246,0.016383,NA,47.018264,-2.084208
Engraulis encrasicolus,Mediterranean,The Adriatic Sea,NA,Engraulis encrasicolus,European Anchovy,Borrell et al. 2012 ICES Journal of Marine Science 69:1357äóñ1371,2009,16S,20,503,0.7579,0.0811,0.004824,NA,43.00083333,16.0175
Engraulis encrasicolus,Mediterranean,The Adriatic Sea,NA,Engraulis encrasicolus,European Anchovy,Borrell et al. 2012 ICES Journal of Marine Science 69:1357äóñ1371,2009,Cytb,20,524,0.9842,0.0205,0.014132,NA,43.00083333,16.0175
Engraulis japonicus,China,"East China Sea, E8-3",JANCHOTSST,Engraulis japonicus,Japanese anchovy,Liu et al. 2006,2001,control region,22,522,1,NA,0.011,NA,32.704289,125.695634
Engraulis japonicus,China,F4,NA,Engraulis japonicus,Japanese anchovy,Liu et al. 2006,2001,control region,20,522,0.99,NA,0.009,NA,30.486733,122.817216
Engraulis japonicus,China,J1,NA,Engraulis japonicus,Japanese anchovy,Liu et al. 2006,2001,control region,20,522,1,NA,0.01,NA,26.185208,120.323319
Engraulis japonicus,China,Q1 - center-south of Yellow Sea,NA,Engraulis japonicus,Japanese anchovy,Yu et al. 2005,,Cytochrome b,15,420,0.962,NA,0.744,NA,35.461,122.4
Engraulis japonicus,China,Q1 - center-south of Yellow Sea,NA,Engraulis japonicus,Japanese anchovy,Yu et al. 2005,,cytochrome c oxidase subunit 1,NA,616,0.934,NA,0.519,NA,35.461,122.4
Engraulis japonicus,China,Q2 - northeast East China Sea,JANCHOTSST,Engraulis japonicus,Japanese anchovy,Yu et al. 2005,,cytochrome c oxidase subunit 1,NA,616,0.981,NA,0.532,NA,32.436,125
Engraulis japonicus,China,Q2 - northeast East China Sea,JANCHOTSST,Engraulis japonicus,Japanese anchovy,Yu et al. 2005,,Cytochrome b,16,420,0.95,NA,0.589,NA,32.436,125
Engraulis japonicus,China,Q3 - southwest East China Sea,NA,Engraulis japonicus,Japanese anchovy,Yu et al. 2005,,cytochrome c oxidase subunit 1,NA,616,0.971,NA,0.832,NA,26.549,121.5
Engraulis japonicus,China,Q3 - southwest East China Sea,NA,Engraulis japonicus,Japanese anchovy,Yu et al. 2005,,Cytochrome b,15,420,0.981,NA,0.603,NA,26.549,121.5
Engraulis japonicus,China,"Yellow Sea, L3",NA,Engraulis japonicus,Japanese anchovy,Liu et al. 2006,2001,control region,17,522,1,NA,0.009,NA,36.421453,121.784501
Engraulis japonicus,China,"Yellow Sea, PT4",NA,Engraulis japonicus,Japanese anchovy,Liu et al. 2006,2001,control region,16,522,1,NA,0.008,NA,35.71547,122.410722
Engraulis japonicus,Japan,"Anamizu, Ishikawa",NA,Engraulis japonicus,Japanese anchovy,Liu et al. 2006,1997,control region,18,522,1,NA,0.01,NA,37.206434,137.18488
Engraulis japonicus,Japan,Kagoshima Bay,JANCHOPJPN,Engraulis japonicus,Japanese anchovy,Liu et al. 2006,1997,control region,18,522,1,NA,0.01,NA,31.440283,130.635393
Engraulis japonicus,Japan,"Kosasa, Nagasaki",JANCHOTSST,Engraulis japonicus,Japanese anchovy,Liu et al. 2006,1996,control region,18,522,1,NA,0.01,NA,32.887852,129.43681
Engraulis japonicus,Japan,Miura Kanagawa,JANCHOPJPN,Engraulis japonicus,Japanese anchovy,Liu et al. 2006,1997,control region,18,522,1,NA,0.009,NA,35.111632,139.653792
Engraulis japonicus,Japan,"Mugi, Tokushima",JANCHOPJPN,Engraulis japonicus,Japanese anchovy,Liu et al. 2006,1997,control region,18,522,1,NA,0.01,NA,33.652868,134.45542
Engraulis japonicus,Japan,Mutsu Bay,JANCHOPJPN,Engraulis japonicus,Japanese anchovy,Liu et al. 2006,1997,control region,18,522,1,NA,0.009,NA,41.007148,141.106946
Engraulis japonicus,Japan,Teuri Island,NA,Engraulis japonicus,Japanese anchovy,Liu et al. 2006,2005,control region,20,522,0.99,NA,0.01,NA,44.400754,141.315284
Engraulis japonicus,Japan,"Utatsu, Miyagi",JANCHOPJPN,Engraulis japonicus,Japanese anchovy,Liu et al. 2006,1997,control region,18,522,1,NA,0.01,NA,38.68513,141.589825
Engraulis japonicus,Taiwan,Autumn Taiwan,NA,Engraulis japonicus,Japanese anchovy,Chen et al. 2010 Zoological Studies 49: 270-282 ,2001,cytb ,45,740,0.999,NA,0.0144,NA,24.13333333,121.1333333
Engraulis japonicus,Taiwan,Taiwan Strait,NA,Engraulis japonicus,Japanese anchovy,Chen et al. 2010 Zoological Studies 49: 270-282 ,2001,cytb ,44,740,1,NA,0.013,NA,25.03333333,121.05
Gadus macrocephalus,Canada,Hecate Strait,PCODHS,Gadus macrocephalus,Pacific cod,Canino et al. 2010 Molecular Ecology 19:4339äóñ4351,2004, ND2/Cytb,34,1509,0.9679,NA,0.004,NA,53.0175,-129.9147222
Gadus macrocephalus,Japan,Sea of Okhotsk,NA,Gadus macrocephalus,Pacific cod,Canino et al. 2010 Molecular Ecology 19:4339äóñ4351,2005, ND2/Cytb,34,1509,0.9768,NA,0.003,NA,44.03333333,135.0838889
Gadus macrocephalus,Korea,East China Sea,NA,Gadus macrocephalus,Pacific cod,Canino et al. 2010 Molecular Ecology 19:4339äóñ4351,2005, ND2/Cytb,34,1509,0.9234,NA,0.003,NA,38.08583333,128.0672222
Gadus macrocephalus,Northwestern Pacific Ocean ,Aleutian Island,PCODBSAI,Gadus macrocephalus,Pacific cod,Liu et al. 2010 Journal of Fish Biology 77:1071-1082 ,2005,control region,21,452,0.49,NA,0.099,NA,50,180
Gadus macrocephalus,Northwestern Pacific Ocean ,Eastern Hokkaido,NA,Gadus macrocephalus,Pacific cod,Liu et al. 2010 Journal of Fish Biology 77:1071-1082 ,2004,control region,44,452,0.59,NA,0.069,NA,43,140
Gadus macrocephalus,Northwestern Pacific Ocean ,Gulf of Georgia,NA,Gadus macrocephalus,Pacific cod,Liu et al. 2010 Journal of Fish Biology 77:1071-1082 ,2003,control region,20,452,0.42,NA,0.022,NA,46,130
Gadus macrocephalus,Northwestern Pacific Ocean ,Hecate Strait,NA,Gadus macrocephalus,Pacific cod,Liu et al. 2010 Journal of Fish Biology 77:1071-1082 ,2004,control region,24,452,0.58,NA,0.074,NA,51,135
Gadus macrocephalus,Northwestern Pacific Ocean ,Kodial Island,NA,Gadus macrocephalus,Pacific cod,Liu et al. 2010 Journal of Fish Biology 77:1071-1082 ,2003,control region,22,452,0.41,NA,0.081,NA,55,155
Gadus macrocephalus,Northwestern Pacific Ocean ,Okhotsk Sea,NA,Gadus macrocephalus,Pacific cod,Liu et al. 2010 Journal of Fish Biology 77:1071-1082 ,2004,control region,44,452,0.59,NA,0.04,NA,46,150
Gadus macrocephalus,Northwestern Pacific Ocean ,Sea of Japan,NA,Gadus macrocephalus,Pacific cod,Liu et al. 2010 Journal of Fish Biology 77:1071-1082 ,2005,control region,27,452,0.71,NA,0.12,NA,44,137
Gadus macrocephalus,Northwestern Pacific Ocean ,Unimak Pass,PCODBSAI,Gadus macrocephalus,Pacific cod,Liu et al. 2010 Journal of Fish Biology 77:1071-1082 ,2003,control region,18,452,0.63,NA,0.123,NA,51,175
Gadus macrocephalus,Northwestern Pacific Ocean ,Yellow Sea,NA,Gadus macrocephalus,Pacific cod,Liu et al. 2010 Journal of Fish Biology 77:1071-1082 ,2005,control region,39,452,0.55,NA,0.065,NA,41,125
Gadus macrocephalus,South Korea ,Boryeong ,NA,Gadus macrocephalus,Pacific cod ,Gwak & Nakayama 2011 Fisheries Science 77:945-952,2007,control region,74,584,0.472,NA,9.00E-04,NA,36.3514,126.4917
Gadus macrocephalus,South Korea ,Jinhae ,NA,Gadus macrocephalus,Pacific cod ,Gwak & Nakayama 2011 Fisheries Science 77:945-952,2007,control region,54,584,0.206,NA,3.00E-04,NA,35.0657,128.7202
Gadus macrocephalus,South Korea ,Jukbyeon,NA,Gadus macrocephalus,Pacific cod ,Gwak & Nakayama 2011 Fisheries Science 77:945-952,2006,control region,56,584,0.553,NA,0.0018,NA,37.0593,129.439
Gadus macrocephalus,USA,Adak Island (AK),PCODBSAI,Gadus macrocephalus,Pacific cod,Canino et al. 2010 Molecular Ecology 19:4339äóñ4351,2006, ND2/Cytb,36,1509,0.9397,NA,0.004,NA,51.06666667,-175.9483333
Gadus macrocephalus,USA,Coastal Washington,NA,Gadus macrocephalus,Pacific cod,Canino et al. 2010 Molecular Ecology 19:4339äóñ4351,2005, ND2/Cytb,37,1509,0.9745,NA,0.003,NA,47.08472222,-124.9491667
Gadus macrocephalus,USA,Kodiak Island (AK),PCODGA,Gadus macrocephalus,Pacific cod,Canino et al. 2010 Molecular Ecology 19:4339äóñ4351,2003, ND2/Cytb,33,1509,0.9773,NA,0.004,NA,57.06888889,-151.9497222
Gadus macrocephalus,USA,Near Islands (AK),PCODBSAI,Gadus macrocephalus,Pacific cod,Canino et al. 2010 Molecular Ecology 19:4339äóñ4351,2006, ND2/Cytb,36,1509,0.9841,NA,0.004,NA,52.05027778,173.0838889
Gadus macrocephalus,USA,Puget Sound,NA,Gadus macrocephalus,Pacific cod,Canino et al. 2010 Molecular Ecology 19:4339äóñ4351,2006, ND2/Cytb,32,1509,0.9456,NA,0.004,NA,47.05138889,-121.95
Gadus macrocephalus,USA,Strait of Georgia,PCODWCVANI,Gadus macrocephalus,Pacific cod,Canino et al. 2010 Molecular Ecology 19:4339äóñ4351,2003, ND2/Cytb,35,1509,0.9529,NA,0.004,NA,48.261203,-123.066998
Gadus macrocephalus,USA,Unimak Pass (AK),PCODBSAI,Gadus macrocephalus,Pacific cod,Canino et al. 2010 Molecular Ecology 19:4339äóñ4351,2003, ND2/Cytb,35,1509,0.9328,NA,0.003,NA,54.05222222,-167.9833333
Gadus morhua,Canada,"Chance Cove, inner part of Trinity Bay",COD2J3KL,Gadus morhua,Atlantic cod,Carr et al. 1995,1990,cytochrome b,47,307,0.2379,NA,0.0011,NA,47.665,-52.86638889
Gadus morhua,Canada,"Flatrock , east coast of Avalon Peninsula north of St. John's",COD2J3KL,Gadus morhua,Atlantic cod,Carr et al. 1995,1989,cytochrome b,88,307,0.3457,NA,0.001591,NA,47.695,-52.75
Gadus morhua,Canada,"Heart's Ease Ledge, near Random Island",COD2J3KL,Gadus morhua,Atlantic cod,Carr et al. 1995,1993,cytochrome b,33,307,0.2275,NA,0.001104,NA,47.989435,-52.909363
Gadus morhua,Canada,Northern Grand Banks,COD2J3KL,Gadus morhua,Atlantic cod,Carr et al. 1995,1988,cytochrome b,21,307,0.1812,NA,0.001494,NA,48.8,-51
Gadus morhua,Canada,"Random Island, west side of Trinity Bay",COD2J3KL,Gadus morhua,Atlantic cod,Carr et al. 1995,1991,cytochrome b,47,307,0.2745,NA,0.0011,NA,48.173,-52.8825
