spp,CommonName,Pelagic_Coastal,PC_Certainty,Genus,Family,Northernmost,Southernmost,Westernmost,Easternmost,Range_Total,Half_RangeSize,Centroid
Abudefduf saxatilis,Sergeant-major,Coastal,,Abudefduf,Pomacentridae,41,-37,-89,14,78,39,2
Acanthochromis polyacanthus,Spiny chromis,Coastal,,Acanthochromis,Pomacentridae,15,-26,116,169,41,20.5,-5.5
Acanthocybium solandri,Wahoo,Pelagic,,Acanthocybium,Scombridae,59,-48,-180,180,107,53.5,5.5
Acanthopagrus australis,Yellowfin bream,Coastal,,Acanthopagrus,Sparidae,-19,-38,#VALUE!,NA,19,9.5,-28.5
Acanthopagrus berda,Goldsilk seabream,Coastal,,Acanthopagrus,Sparidae,30,-35,22,103,65,32.5,-2.5
Acanthopagrus latus,Yellowfin seabream,Coastal,,Acanthopagrus,Sparidae,34,15,105,137,19,9.5,24.5
Acanthopagrus schlegelii,Blackhead seabream,Coastal,,Acanthopagrus,Sparidae,43,20,-143,-107,23,11.5,31.5
Acanthopagrus taiwanensis,Taiwan picnic seabream,Coastal,,Acanthopagrus,Sparidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Acanthurus leucosternon,Powder blue tang,Coastal,,Acanthopagrus,Sparidae,26,-30,31,129,56,28,-2
Acanthurus nigricans,Whitecheek surgeonfish,Coastal,,Acanthurus,Acanthuridae,30,-24,#VALUE!,NA,54,27,3
Acanthurus nigrofuscus,Brown Surgeonfish,Coastal,,Acanthurus,Acanthuridae,31,-34,3,-123,65,32.5,-1.5
Acanthurus nigroris,Bluelined surgeonfish,Coastal,,Acanthurus,Acanthuridae,28,-24,54,-139,52,26,2
Acanthurus triostegus,Convict surgeonfish,Coastal,,Acanthurus,Acanthuridae,26,-36,25,-85,62,31,-5
Aetobatus narinari,Whitespotted eagle ray,Coastal,,Aetobatus,Myliobatidae,43,-32,-115,-154,75,37.5,5.5
Alopias vulpinus,Thresher,Pelagic,,Alopias,Alopiidae,74,-58,-180,180,132,66,8
Amblyraja radiata,Starry ray,Coastal,,Amblyraja,Rajidae,72,33,-78,41,39,19.5,52.5
Ammodytes personatus,Pacific sandlance,Coastal,,Ammodytes,Ammodytidae,54,30,118,-118,24,12,42
Amphiprion akallopisos,Skunk clownfish,Coastal,,Amphiprion,Pomacentridae,23,-35,#VALUE!,NA,58,29,-6
Amphiprion clarkii,Yellowtail clownfish,Coastal,,Amphiprion,Pomacentridae,30,-30,47,-172,60,30,0
Amphiprion frenatus,Tomato clownfish,Coastal,,Amphiprion,Pomacentridae,30,-20,91,143,50,25,5
Amphiprion latezonatus,Wide-band anemonefish,Coastal,,Amphiprion,Pomacentridae,-25,-32,#VALUE!,NA,7,3.5,-28.5
Amphiprion mccullochi,Whitesnout anemonefish,Coastal,,Amphiprion,Pomacentridae,-31,-32,#VALUE!,NA,1,0.5,-31.5
Amphiprion melanopus,Fire clownfish,Coastal,,Amphiprion,Pomacentridae,-10,-30,#VALUE!,NA,20,10,-20
Amphiprion ocellaris,Clown anemonefish,Coastal,,Amphiprion,Pomacentridae,46,-17,92,147,63,31.5,14.5
Amphiprion percula,Orange clownfish,Coastal,,Amphiprion,Pomacentridae,-6,-26,141,155,20,10,-16
Amphiprion perideraion,Pink anemonefish,Coastal,,Amphiprion,Pomacentridae,34,-22,96,156,56,28,6
Amphiprion polymnus,Saddleback clownfish,Coastal,,Amphiprion,Pomacentridae,36,-33,91,164,69,34.5,1.5
Anarhichas lupus,Atlantic wolffish,Coastal,,Anarhichas,Anarhichadidae,79,37,-75,56,42,21,58
Anoplopoma fimbria,Sablefish,Pelagic,,Anoplopoma,Anoplopomatidae,64,23,141,-109,41,20.5,43.5
Antimora rostrata,Blue antimora,Pelagic,,Antimora,Moridae,62,-62,-180,180,124,62,0
Aphanopus carbo,Black scabbardfish,Pelagic,,Aphanopus,Trichiuridae,71,-23,-82,17,94,47,24
Aphanopus intermedius,Intermediate scabbardfish,Pelagic,,Aphanopus,Trichiuridae,50,-35,-105,-14,85,42.5,7.5
Aphia minuta,Transparent goby,Coastal,,Aphia,Gobiidae,70,25,-13,42,45,22.5,47.5
Apogon imberbis,Cardinal fish,Coastal,,Apogon,Apogonidae,45,-5,-32,36,50,25,20
Archosargus probatocephalus,Sheepshead,Coastal,,Archosargus,Sparidae,49,-6,-100,-36,55,27.5,21.5
Argyrosomus coronus,Dusky kob,Coastal,,Argyrosomus,Sciaenidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Argyrosomus inodorus,Mild meagre,Coastal,,Argyrosomus,Sciaenidae,-17,-38,11,29,21,10.5,-27.5
Argyrosomus japonicus,Japanese meagre,Coastal,,Argyrosomus,Sciaenidae,40,-39,18,155,79,39.5,0.5
Argyrosomus regius,Meagre,Coastal,,Argyrosomus,Sciaenidae,65,-6,-23,36,71,35.5,29.5
Atherinella brasiliensis,Brazilian silverside,Coastal,,Atherinella,Atherinopsidae,13,-36,-77,-34,49,24.5,-11.5
Atractoscion aequidens,Geelbeck croaker,Coastal,,Atractoscion,Sciaenidae,14,-28,#VALUE!,NA,42,21,-7
Auxis rochei,Bullet tuna,Coastal,Maybe,Auxis,Scombridae,61,-51,-180,180,112,56,5
Auxis thazard,Frigate tuna,Pelagic,,Auxis,Scombridae,61,-51,-180,180,112,56,5
Balistes capriscus,Grey triggerfish,Coastal,,Balistes,Balistidae,58,-37,-98,36,95,47.5,10.5
Bathygobius cocosensis,Cocos frill-goby,Coastal,,Bathygobius,Gobiidae,32,-28,#VALUE!,NA,60,30,2
Bathytoshia centroura,Roughtail stingray,Coastal,,Bathytoshia,Dasyatidae,45,-35,-90,36,80,40,5
Bellapiscis lesleyae,Mottled twister,Coastal,,Bellapiscis,Tripterygiidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Bellapiscis medius,Twister,Coastal,,Bellapiscis,Tripterygiidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Beringraja pulchra,Mottled skate,Coastal,,Beringraja,Rajidae,50,28,119,150,22,11,39
Beryx decadactylus,Alfonsino,Coastal,,Beryx,Berycidae,70,-48,-180,180,118,59,11
Beryx splendens,Splendid alfonsino,Pelagic,,Beryx,Berycidae,45,-43,-180,180,88,44,1
Boreogadus saida,Polar cod,Pelagic,,Boreogadus,Gadidae,87,52,-180,180,35,17.5,69.5
Branchiostegus japonicus,Horsehead tilefish,Coastal,,Branchiostegus,Malacanthidae,40,15,105,144,25,12.5,27.5
Branchiostoma belcheri,,Coastal,,Branchiostoma,Branchiostomidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Branchiostoma japonicum,,Coastal,,Branchiostoma,Branchiostomidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Brevoortia gunteri,Finescale menhaden,Coastal,,Brevoortia,Clupeidae,30,17,-99,-88,13,6.5,23.5
Brevoortia patronus,Gulf menhaden,Coastal,,Brevoortia,Clupeidae,31,19,-95,-80,12,6,25
Brevoortia smithi,Yellowfin menhaden,Coastal,,Brevoortia,Clupeidae,37,23,-92,-74,14,7,30
Brevoortia tyrannus,Atlantic menhaden,Coastal,,Brevoortia,Clupeidae,46,30,-81,-64,16,8,38
Brosme brosme,Cusk,Coastal,,Brosme,Lotidae,83,37,-75,57,46,23,60
Caffrogobius caffer,Banded goby,Coastal,,Caffrogobius,Gobiidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Carcharhinus albimarginatus,Silvertip shark,Pelagic,,Carcharhinus,Carcharhinidae,32,-31,31,-77,63,31.5,0.5
Carcharhinus amblyrhynchos,Gray reef shark,Coastal,,Carcharhinus,Carcharhinidae,29,-35,33,-151,64,32,-3
Carcharhinus galapagensis,Galapagos shark,Pelagic,Maybe,Carcharhinus,Carcharhinidae,36,-34,-180,180,70,35,1
Carcharhinus isodon,Finetooth shark,Coastal,,Carcharhinus,Carcharhinidae,42,-38,-100,-12,80,40,2
Carcharhinus leucas,Bull shark,Coastal,,Carcharhinus,Carcharhinidae,42,-39,-180,180,81,40.5,1.5
Carcharhinus limbatus,Blacktip shark,Coastal,,Carcharhinus,Carcharhinidae,45,-38,-180,180,83,41.5,3.5
Carcharhinus signatus,Night shark,Coastal,,Carcharhinus,Carcharhinidae,39,-43,-85,15,82,41,-2
Carcharhinus sorrah,Spot-tail shark,Coastal,,Carcharhinus,Carcharhinidae,31,-31,#VALUE!,NA,62,31,0
Carcharias taurus,Sand tiger shark,Coastal,,Charcharias,Odontaspididae,45,-48,-100,155,93,46.5,-1.5
Carcharodon carcharias,Great white shark,Pelagic,,Carcharodon,Lamnidae,61,-58,-180,180,119,59.5,1.5
Centrophorus harrissoni,Dumb gulper shark,Coastal,,Centrophorus,Centrophoridae,-26,-43,111,-178,17,8.5,-34.5
Centrophorus moluccensis,Smallfin gulper shark,Coastal,,Centrophorus,Centrophoridae,32,-40,34,171,72,36,-4
Centrophorus uyato,Little gulper shark,Coastal,,Centrophorus,Centrophoridae,43,-43,#VALUE!,NA,86,43,0
Centrophorus zeehaani,Southern dogfish,Coastal,,Centrophorus,Centrophoridae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Centropristis striata,Black seabass,Coastal,,Centropristis,Serranidae,45,25,#VALUE!,NA,20,10,35
Centroscymnus crepidater,Longnose velvet dogfish,Coastal,,Centroscymnus,Somniosidae,64,-57,-159,-77,121,60.5,3.5
Cephalopholis argus,Peacock hind,Coastal,,Cephalopholis,Serranidae,29,-34,33,-122,63,31.5,-2.5
Cephalopholis fulva,Coney,Coastal,,Cephalopholis,Serranidae,36,-28,-98,-33,64,32,4
Cetengraulis edentulus,Atlantic anchoveta,Coastal,,Cetengraulis,Engraulidae,23,-28,-98,-32,51,25.5,-2.5
Chaenocephalus aceratus,Blackfin icefish,Coastal,,Chaenocephalus,Channichthyidae,-53,-65,-67,4,12,6,-59
Chaetodon austriacus,Blacktail butterflyfish,Coastal,,Chaetodon,Chaetodontidae,30,10,#VALUE!,NA,20,10,20
Chaetodon lunulatus,Oval butterflyfish,Coastal,,Chaetodon,Chaetodontidae,37,-32,95,-134,69,34.5,2.5
Chaetodon melapterus,Arabian butterflyfish,Coastal,,Chaetodon,Chaetodontidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Chaetodon meyeri,Scrawled butterflyfish,Coastal,,Chaetodon,Chaetodontidae,30,-30,#VALUE!,NA,60,30,0
Chaetodon multicinctus,Pebbled butterflyfish,Coastal,,Chaetodon,Chaetodontidae,30,16,178,-154,14,7,23
Chaetodon ornatissimus,Ornate butterflyfish,Coastal,,Chaetodon,Chaetodontidae,30,-30,77,-124,60,30,0
Chaetodon tricinctus,Three-striped butterflyfish,Coastal,,Chaetodon,Chaetodontidae,-25,-33,#VALUE!,NA,8,4,-29
Chaetodon trifascialis,Chevron butterflyfish,Coastal,,Chaetodon,Chaetodontidae,36,-30,30,-150,66,33,3
Chaetodon trifasciatus,Melon butterflyfish,Coastal,,Chaetodon,Chaetodontidae,30,-30,#VALUE!,NA,60,30,0
Champsocephalus gunnari,Mackerel icefish,Pelagic,Maybe,Champsocephalus,Channichthyidae,-48,-66,-65,77,18,9,-57
Cheilinus undulatus,Humphead wrasse,Coastal,,Cheilinus,Labridae,30,-23,#VALUE!,NA,53,26.5,3.5
Cheilodipterus artus,Wolf cardinalfish,Coastal,,Cheilopdipterus,Apogonidae,30,-24,#VALUE!,NA,54,27,3
Chionodraco rastrospinosus,Ocellated icefish,Pelagic,Maybe,Chionodraco,Channichthyidae,-60,-67,-69,-43,7,3.5,-63.5
Chromis margaritifer,Bicolor chromis,Coastal,,Chromis,Pomacentridae,32,-32,96,-132,64,32,0
Chromis multilineata,Brown chromis,Coastal,,Chromis,Pomacentridae,30,-23,#VALUE!,NA,53,26.5,3.5
Chromis viridis,Blue green damselfish,Coastal,,Chromis,Pomacentridae,35,-35,#VALUE!,NA,70,35,0
Chrysiptera talboti,Talbot's demoiselle,Coastal,,Chrysiptera,Pomacentridae,21,-25,92,-173,46,23,-2
Chrysoblephus laticeps,Roman seabream,Coastal,,Chrysoblephus,Sparidae,-21,-28,#VALUE!,NA,7,3.5,-24.5
Chrysoblephus puniceus,Slinger seabream,Coastal,,Chrysoblephus,Sparidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Cirrhilabrus punctatus,Dotted wrasse,Coastal,,Cirrhilabrus,Labridae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Cleisthenes herzensteini,Pointhead flounder,Coastal,,Cleisthenes,Pleuronectidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Clupea harengus,Atlantic herring,Pelagic,,Clupea,Clupeidae,80,33,-79,70,47,23.5,56.5
Clupea pallasii pallasii,Pacific herring,Coastal,,Clupea,Clupeidae,77,33,34,-119,44,22,55
Collichthys lucidus,Big head croaker,Coastal,,Collichthys,Sciaenidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Conger conger,European conger,Coastal,,Conger,Congridae,68,12,-32,42,56,28,40
Coris bulbifrons,Doubleheader,Coastal,,Coris,Labridae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Coris julis,Mediterranean rainbow wrasse,Coastal,,Coris,Labridae,59,-1,-32,36,60,30,29
Coryphaena hippurus,Common dolphinfish,Pelagic,,Coryphaena,Coryphaenidae,47,-40,-180,180,87,43.5,3.5
Coryphaenoides armatus,Abyssal grenadier,Pelagic,,Coryphaenoides,Macrouridae,65,-61,-180,180,126,63,2
Coryphaenoides brevibarbis,Shortbeard grenadier,Pelagic,,Coryphaenoides,Macrouridae,65,-40,-70,-1,105,52.5,12.5
Coryphaenoides mediterraneus,Mediterranean grenadier,Pelagic,,Coryphaenoides,Macrouridae,67,18,-98,17,49,24.5,42.5
Crystallias matsushimae,,Coastal,,Crystallias,Liparidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Ctenolabrus rupestris,Goldsinny-wrasse,Coastal,,Ctenolabrus,Labridae,64,30,-11,42,34,17,47
Cyclopterus lumpus,Lumpfish,Pelagic,,Cyclopterus,Cyclopteridae,80,32,-95,49,48,24,56
Cymatogaster aggregata,Shiner perch,Coastal,,Cymatogaster,Embiotocidae,57,21,-137,-105,36,18,39
Cynoglossus semilaevis,Tongue sole,Coastal,,Cynoglossus,Cynoglossidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Cynoscion arenarius,Sand weakfish,Coastal,,Cynoscion,Sciaenidae,30,18,-98,-80,12,6,24
Cynoscion nebulosus,Spotted weakfish,Coastal,,Cynoscion,Sciaenidae,42,15,-83,-70,27,13.5,28.5
Cynoscion nothus,Silver seatrout,Coastal,,Cynoscion,Sciaenidae,38,10,-98,-60,28,14,24
Dalatias licha,Kitefin shark,Pelagic,Maybe,Dalatias,Dalatiidae,72,-56,-153,-98,128,64,8
Dascyllus aruanus,Humbug damselfish,Coastal,,Dascyllus,Pomacentridae,38,-35,19,-124,73,36.5,1.5
Dascyllus strasburgi,Strasburg's dascyllus,Coastal,,Dascyllus,Pomacentridae,-5,-10,#VALUE!,NA,5,2.5,-7.5
Dascyllus trimaculatus,Threespot dascyllus,Coastal,,Dascyllus,Pomacentridae,32,-36,24,-128,68,34,-2
Dasyatis pastinaca,Common stingray,Coastal,,Dasyatis,Dasyatidae,61,-35,-19,42,96,48,13
Dentex dentex,Common dentex,Coastal,,Dentex,Sparidae,56,12,-23,42,44,22,34
Diaphus theta,California headlightfish,Pelagic,,Diaphus,Myctophidae,66,-20,#VALUE!,NA,86,43,23
Dicentrarchus labrax,European seabass,Coastal,,Dicentrarchus,Moronidae,72,11,-19,42,61,30.5,41.5
Diplodus hottentotus,Zebra,Coastal,,Diplodus,Sparidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Diplodus sargus,White seabream,Coastal,,Diplodus,Sparidae,48,-36,-18,42,84,42,6
Diplodus vulgaris,Common two-banded seabream,Coastal,,Diplodus,Sparidae,50,-40,-26,36,90,45,5
Dipturus oxyrinchus,Longnosed skate,Coastal,,Dipturus,Rajidae,65,11,-19,36,54,27,38
Dipturus trachyderma,Ray,Coastal,,Dipturus,Rajidae,-2,-57,-99,-42,55,27.5,-29.5
Dissostichus eleginoides,Patagonian toothfish,Pelagic,,Dissostichus,Nototheniidae,-33,-66,-77,180,33,16.5,-49.5
Electrona antarctica,Antarctic lanternfish,Pelagic,,Electrona,Myctophidae,-45,-78,-180,180,33,16.5,-61.5
Eleginops maclovinus,Patagonian blennie,Coastal,,Eleginops,Eleginopsidae,-32,-55,-76,-53,23,11.5,-43.5
Elops saurus,Ladyfish,Coastal,,Elops,Elopidae,29,-17,#VALUE!,NA,46,23,6
Embiotoca jacksoni,Black perch,Coastal,,Embiotoca,Embiotocidae,40,23,-124,-114,17,8.5,31.5
Engraulis australis,Australian anchovy,Coastal,,Engraulis,Engraulidae,-20,-47,109,-177,27,13.5,-33.5
Engraulis capensis,Southern African anchovy,Coastal,,Engraulis,Engraulidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Engraulis encrasicolus,European anchovy,Coastal,,Engraulis,Engraulidae,62,-37,-18,42,99,49.5,12.5
Engraulis eurystole,Silver anchovy,Coastal,,Engraulis,Engraulidae,45,0,-91,-46,45,22.5,22.5
Engraulis japonicus,Japanese anchovy,Coastal,,Engraulis,Engraulidae,49,2,105,155,47,23.5,25.5
Epinephelus akaara,Hong Kong grouper,Coastal,,Epinephelus,Serranidae,39,20,109,143,19,9.5,29.5
Epinephelus awoara,Yellow grouper,Coastal,,Epinephelus,Serranidae,39,12,110,143,27,13.5,25.5
Epinephelus bleekeri,Duskytail grouper,Coastal,,Epinephelus,Serranidae,32,-17,48,136,49,24.5,7.5
Epinephelus bruneus,Kelp grouper,Coastal,,Epinephelus,Serranidae,38,18,108,142,20,10,28
Epinephelus coioides,Orange-spotted grouper,Coastal,,Epinephelus,Serranidae,37,-34,28,180,71,35.5,1.5
Epinephelus fasciatus,Blacktip grouper,Coastal,,Epinephelus,Serranidae,36,-35,22,-124,71,35.5,0.5
Epinephelus guttatus,Red hind,Coastal,,Epinephelus,Serranidae,36,8,-98,-58,28,14,22
Epinephelus itajara,Atlantic goliath grouper,Coastal,,Epinephelus,Serranidae,36,-33,-121,12,69,34.5,1.5
Epinephelus lanceolatus,Giant grouper,Coastal,,Epinephelus,Serranidae,29,-39,24,-122,68,34,-5
Epinephelus maculatus,Highfin grouper,Coastal,,Epinephelus,Serranidae,29,-34,96,-170,63,31.5,-2.5
Epinephelus malabaricus,Malabar grouper,Coastal,,Epinephelus,Serranidae,30,-32,29,-173,62,31,-1
Epinephelus marginatus,Dusky grouper,Coastal,,Epinephelus,Serranidae,54,-43,-65,58,97,48.5,5.5
Epinephelus merra,Honeycomb grouper,Coastal,,Epinephelus,Serranidae,35,-35,28,-129,70,35,0
Epinephelus morio,Red grouper,Coastal,,Epinephelus,Serranidae,35,-27,-98,-33,62,31,4
Epinephelus ongus,White-streaked grouper,Coastal,,Epinephelus,Serranidae,36,-27,31,-179,63,31.5,4.5
Epinephelus polyphekadion,Camouflage grouper,Coastal,,Epinephelus,Serranidae,30,-34,27,-134,64,32,-2
Epinephelus striatus,Nassau grouper,Coastal,,Epinephelus,Serranidae,35,-34,-92,-34,69,34.5,0.5
Etelis carbunculus,Deep-water red snapper,Pelagic,Maybe,Etelis,Lutjanidae,34,-25,35,-150,59,29.5,4.5
Etelis coruscans,Deepwater longtail red snapper,Coastal,,Etelis,Lutjanidae,38,-32,29,-139,70,35,3
